Banner of the Maid$$%%994730$$%%39,619$$%%277.8 k$$%%233.7 k$$%%264.8 k
Ancient Abyss$$%%973450$$%%5,733$$%%8.2 k$$%%6.6 k$$%%5.7 k
Wanba Warriors$$%%1021770$$%%9,462$$%%476.1 k$$%%201.4 k$$%%74.8 k
Metaverse Keeper$$%%698870$$%%5,622$$%%62.2 k$$%%42.6 k$$%%28.8 k
Dicey Dungeons$$%%861540$$%%25,656$$%%1.12 M$$%%635.4 k$$%%234.1 k
Kelipot$$%%1090440$$%%6,780$$%%40.5 k$$%%16.6 k$$%%23.5 k
Bugs Must Die$$%%816720$$%%1,166$$%%25.9 k$$%%2.4 k$$%%5.1 k
Holy Potatoes! A Spy Story?!$$%%830590$$%%1,616$$%%364.4 k$$%%6.1 k$$%%3.7 k
Tales of the Neon Sea$$%%828740$$%%16,234$$%%1.43 M$$%%92.8 k$$%%86.8 k
Typoman$$%%336240$$%%5,818$$%%251.3 k$$%%33.7 k$$%%31.5 k
Pascal's Wager: Definitive Edition$$%%1456650$$%%7,694$$%%$$%%$$%%
Endless Road：Reborn$$%%782570$$%%4,115$$%%$$%%$$%%
Risk of Rain 2$$%%632360$$%%306,407$$%%8.78 M$$%%6.12 M$$%%7.81 M
Eastward$$%%977880$$%%105,578$$%%389.2 k$$%%376.2 k$$%%450.6 k
Freedom Finger$$%%1005410$$%%676$$%%32.1 k$$%%3.3 k$$%%3.7 k
VA-11 Hall-A: Cyberpunk Bartender Action$$%%447530$$%%95,746$$%%1.80 M$$%%931.5 k$$%%910.5 k
Dyson Sphere Program$$%%1366540$$%%234,575$$%%1.27 M$$%%2.27 M$$%%2.38 M
Gorogoa$$%%557600$$%%40,360$$%%582.8 k$$%%494.5 k$$%%297.6 k
Celeste$$%%504230$$%%98,634$$%%2.23 M$$%%2.43 M$$%%1.68 M
Into the Breach$$%%590380$$%%92,534$$%%1.88 M$$%%885.1 k$$%%490.7 k
Where the Water Tastes Like Wine$$%%447120$$%%12,203$$%%1.02 M$$%%53.1 k$$%%53.7 k
Frostpunk$$%%323190$$%%365,973$$%%4.74 M$$%%3.95 M$$%%2.93 M
Just Shapes & Beats$$%%531510$$%%30,912$$%%357.6 k$$%%376.5 k$$%%254.1 k
Dead Cells$$%%588650$$%%369,493$$%%3.51 M$$%%4.78 M$$%%2.28 M
Donut County$$%%702670$$%%20,518$$%%596.8 k$$%%344.7 k$$%%285.0 k
The Messenger$$%%764790$$%%29,058$$%%1.93 M$$%%329.8 k$$%%253.2 k
ZeroRanger$$%%809020$$%%3,043$$%%104.7 k$$%%52.7 k$$%%31.3 k
Return of the Obra Dinn$$%%653530$$%%72,478$$%%1.04 M$$%%709.3 k$$%%923.9 k
GRIS$$%%683320$$%%125,855$$%%3.51 M$$%%1.34 M$$%%1.92 M
The Gardens Between$$%%600990$$%%11,792$$%%645.7 k$$%%65.8 k$$%%94.7 k
Do Not Feed the Monkeys$$%%658850$$%%41,414$$%%2.65 M$$%%279.9 k$$%%252.9 k
Wandersong$$%%530320$$%%5,552$$%%2.44 M$$%%41.6 k$$%%83.5 k
The Red Strings Club$$%%589780$$%%29,168$$%%569.5 k$$%%284.8 k$$%%296.0 k
Yoku's Island Express$$%%334940$$%%7,748$$%%2.62 M$$%%122.8 k$$%%112.8 k
The Scroll Of Taiwu$$%%838350$$%%157,457$$%%354.2 k$$%%1.46 M$$%%1.34 M
Mutant Year Zero: Road to Eden$$%%760060$$%%95,169$$%%2.49 M$$%%328.9 k$$%%684.7 k
Northgard$$%%466560$$%%321,455$$%%3.16 M$$%%2.39 M$$%%2.76 M
Guacamelee! 2$$%%534550$$%%11,553$$%%2.17 M$$%%103.4 k$$%%107.7 k
Moonlighter$$%%606150$$%%90,594$$%%3.10 M$$%%975.1 k$$%%750.5 k
Minit$$%%609490$$%%9,636$$%%2.26 M$$%%57.8 k$$%%137.6 k
CrossCode$$%%368340$$%%74,891$$%%1.40 M$$%%448.8 k$$%%521.0 k
Omensight: Definitive Edition$$%%455820$$%%19,746$$%%451.8 k$$%%49.2 k$$%%36.8 k
Subnautica$$%%264710$$%%596,361$$%%5.44 M$$%%6.65 M$$%%6.08 M
Unavowed$$%%336140$$%%8,801$$%%285.4 k$$%%46.9 k$$%%42.6 k
Florence$$%%1102130$$%%17,886$$%%397.9 k$$%%265.7 k$$%%368.1 k
Iconoclasts$$%%393520$$%%23,328$$%%767.8 k$$%%152.5 k$$%%90.8 k
Slay the Spire$$%%646570$$%%213,492$$%%5.15 M$$%%5.40 M$$%%2.93 M
Lost Ember$$%%563840$$%%47,434$$%%431.9 k$$%%126.4 k$$%%142.7 k
Untitled Goose Game$$%%837470$$%%111,672$$%%827.4 k$$%%1.13 M$$%%561.4 k
Void Bastards$$%%857980$$%%39,262$$%%2.25 M$$%%253.3 k$$%%174.4 k
WHAT THE GOLF?$$%%785790$$%%13,872$$%%261.8 k$$%%125.0 k$$%%106.7 k
Katana ZERO$$%%460950$$%%92,554$$%%2.43 M$$%%1.43 M$$%%1.84 M
My Friend Pedro$$%%557340$$%%80,921$$%%3.38 M$$%%898.0 k$$%%738.5 k
A Plague Tale: Innocence$$%%752590$$%%159,614$$%%2.58 M$$%%1.29 M$$%%1.63 M
Children of Morta$$%%330020$$%%96,842$$%%2.28 M$$%%1.05 M$$%%702.0 k
Disco Elysium - The Final Cut$$%%632470$$%%206,029$$%%3.90 M$$%%3.29 M$$%%3.37 M
Outer Wilds$$%%753640$$%%142,787$$%%2.22 M$$%%1.75 M$$%%2.02 M
Baba Is You$$%%736260$$%%39,968$$%%1.84 M$$%%889.3 k$$%%397.8 k
Reventure$$%%900270$$%%10,918$$%%1.44 M$$%%320.7 k$$%%308.3 k
Supraland$$%%813630$$%%40,730$$%%2.56 M$$%%331.4 k$$%%416.5 k
Overcooked$$%%448510$$%%88,846$$%%2.97 M$$%%1.48 M$$%%1.28 M
